ESTADO,CIDADE,NUM_IDOSO
RJ,RIO DE JANEIRO,67326
SP,SÃO PAULO,66086
CE,FORTALEZA,19302
RS,PORTO ALEGRE,12312
MG,BELO HORIZONTE,10673
PE,RECIFE,9670
AM,MANAUS,9576
RJ,SÃO GONÇALO,9098
PA,BELÉM,8528
GO,GOIÂNIA,8480
SP,CAMPINAS,8174
BA,SALVADOR,7599
SP,GUARULHOS,5182
MA,SÃO LUÍS,5120
RJ,SÃO JOÃO DE MERITI,4906
RJ,CAMPOS DOS GOYTACAZES,4898
MG,JUIZ DE FORA,4682
PR,CURITIBA,4522
SP,RIBEIRÃO PRETO,4432
PI,TERESINA,4402
PB,JOÃO PESSOA,4368
AL,MACEIÓ,4116
SP,SOROCABA,4016
RJ,DUQUE DE CAXIAS,4012
RJ,NOVA IGUAÇU,3776
SC,JOINVILLE,3510
BA,FEIRA DE SANTANA,3410
SP,BAURU,3408
MT,CUIABÁ,3258
SP,SANTO ANDRÉ,3222
RO,PORTO VELHO,3218
SP,PIRACICABA,3166
MG,GOVERNADOR VALADARES,3156
MG,CONTAGEM,3146
ES,SERRA,3110
SP,SÃO BERNARDO DO CAMPO,3106
SP,MOGI DAS CRUZES,3070
SP,OSASCO,2942
RJ,PETRÓPOLIS,2862
SP,DIADEMA,2792
SE,ARACAJU,2768
SP,MAUÁ,2754
MG,UBERABA,2730
RS,PELOTAS,2714
GO,ANÁPOLIS,2692
RS,CAXIAS DO SUL,2670
MS,CAMPO GRANDE,2613
ES,VILA VELHA,2442
RN,NATAL,2424
SP,SÃO VICENTE,2408
PE,JABOATÃO DOS GUARARAPES,2403
SP,TAUBATÉ,2380
PR,PONTA GROSSA,2354
PA,SANTARÉM,2346
RS,SANTA MARIA,2342
MG,UBERLÂNDIA,2302
SP,PRAIA GRANDE,2270
ES,CARIACICA,2248
PE,PAULISTA,2224
CE,CAUCAIA,2190
RJ,BELFORD ROXO,2146
BA,VITÓRIA DA CONQUISTA,2130
SP,FRANCA,2126
SP,LIMEIRA,2102
SP,SÃO JOSÉ DOS CAMPOS,2060
SP,TABOÃO DA SERRA,1948
RJ,NITERÓI,1931
ES,VITÓRIA,1910
RS,CANOAS,1894
AC,RIO BRANCO,1870
AP,MACAPÁ,1780
SP,SÃO JOSÉ DO RIO PRETO,1751
SP,SANTOS,1732
PR,LONDRINA,1723
RR,BOA VISTA,1682
MG,MONTES CLAROS,1578
SC,BLUMENAU,1560
MG,IPATINGA,1413
SP,JUNDIAÍ,1393
PB,CAMPINA GRANDE,1391
MG,SETE LAGOAS,1383
PR,MARINGÁ,1356
RJ,NOVA FRIBURGO,1335
SC,FLORIANÓPOLIS,1288
SC,LAGES,1274
RJ,TERESÓPOLIS,1265
RJ,MESQUITA,1212
RJ,MAGÉ,1186
PE,OLINDA,1180
RJ,VOLTA REDONDA,1172
RJ,CABO FRIO,1170
RJ,ITABORAÍ,1155
SC,CRICIÚMA,1149
SP,PRESIDENTE PRUDENTE,1145
BA,ITABUNA,1142
GO,APARECIDA DE GOIÂNIA,1128
RJ,MACAÉ,1125
RJ,BARRA MANSA,1107
SP,GUARUJÁ,1104
RS,RIO GRANDE,1096
PE,PETROLINA,1095
RS,NOVO HAMBURGO,1090
SP,SÃO CARLOS,1080
PE,CARUARU,1077
RS,GRAVATAÍ,1076
SP,MARÍLIA,1073
RJ,NILÓPOLIS,1066
RS,SÃO LEOPOLDO,1066
MG,POÇOS DE CALDAS,1061
SP,ARARAQUARA,1054
SP,CARAPICUÍBA,1052
RS,PASSO FUNDO,1043
SP,ARAÇATUBA,1043
SP,JACAREÍ,1040
ES,CACHOEIRO DE ITAPEMIRIM,1037
RS,BAGÉ,1027
SP,BARUERI,1021
SP,RIO CLARO,1019
SP,SUZANO,1019
SP,AMERICANA,1014
RJ,RESENDE,1006
RJ,ANGRA DOS REIS,999
MG,SANTA LUZIA,981
SP,COTIA,956
MS,DOURADOS,936
RJ,TRÊS RIOS,927
SP,SÃO CAETANO DO SUL,920
PA,MARABÁ,918
RN,MOSSORÓ,905
RS,ERECHIM,904
MG,PATOS DE MINAS,898
SP,RIBEIRÃO PIRES,889
MS,TRÊS LAGOAS,887
MG,RIBEIRÃO DAS NEVES,882
SP,BRAGANÇA PAULISTA,881
RS,SANTA CRUZ DO SUL,870
SP,ITAQUAQUECETUBA,869
SP,SUMARÉ,868
SC,CHAPECÓ,861
MG,CARATINGA,861
PA,ANANINDEUA,861
MS,CORUMBÁ,859
MG,DIVINÓPOLIS,858
PR,CASCAVEL,841
MS,PONTA PORÃ,836
BA,ILHÉUS,828
MT,RONDONÓPOLIS,808
CE,JUAZEIRO DO NORTE,804
SC,TUBARÃO,804
PR,GUARAPUAVA,801
MG,BETIM,799
GO,RIO VERDE,796
PR,FOZ DO IGUAÇU,793
SC,SÃO JOSÉ,784
MA,IMPERATRIZ,781
PA,CASTANHAL,778
RS,VIAMÃO,775
BA,JEQUIÉ,750
