ESTADO,CIDADE,NUM_JOVEM
SP,SÃO PAULO,28372
RJ,RIO DE JANEIRO,19124
CE,FORTALEZA,9042
AM,MANAUS,6290
PE,RECIFE,4842
PA,BELÉM,4666
GO,GOIÂNIA,4546
BA,SALVADOR,4318
RS,PORTO ALEGRE,4194
MG,BELO HORIZONTE,3908
SP,GUARULHOS,3682
SP,CAMPINAS,3412
RJ,SÃO GONÇALO,2792
AL,MACEIÓ,2716
MA,SÃO LUÍS,2642
SP,SOROCABA,2604
PB,JOÃO PESSOA,2484
PI,TERESINA,2484
PR,CURITIBA,2368
SC,JOINVILLE,2336
MT,CUIABÁ,2104
MG,JUIZ DE FORA,2030
RO,PORTO VELHO,2028
MG,CONTAGEM,1966
SP,RIBEIRÃO PRETO,1960
BA,FEIRA DE SANTANA,1924
RJ,SÃO JOÃO DE MERITI,1906
RJ,CAMPOS DOS GOYTACAZES,1862
RJ,DUQUE DE CAXIAS,1634
MS,CAMPO GRANDE,1611
CE,CAUCAIA,1598
BA,VITÓRIA DA CONQUISTA,1548
GO,ANÁPOLIS,1544
PR,PONTA GROSSA,1538
MG,GOVERNADOR VALADARES,1536
SP,DIADEMA,1518
SP,MOGI DAS CRUZES,1516
MG,UBERABA,1490
ES,VILA VELHA,1486
SP,BAURU,1472
ES,SERRA,1466
SE,ARACAJU,1460
RS,CAXIAS DO SUL,1456
SP,PIRACICABA,1440
SP,MAUÁ,1428
SP,OSASCO,1388
PE,PAULISTA,1376
PA,SANTARÉM,1340
SP,SÃO BERNARDO DO CAMPO,1336
SP,SANTO ANDRÉ,1332
RS,PELOTAS,1316
MG,UBERLÂNDIA,1284
RN,NATAL,1244
RJ,NOVA IGUAÇU,1237
AC,RIO BRANCO,1170
SP,LIMEIRA,1076
AP,MACAPÁ,1064
SP,TAUBATÉ,1064
SP,SÃO JOSÉ DOS CAMPOS,1049
RR,BOA VISTA,1030
SP,PRAIA GRANDE,1024
SP,TABOÃO DA SERRA,1006
SC,BLUMENAU,1000
SP,FRANCA,996
PR,LONDRINA,970
